Date,Total BTC,Market Cap,Transactions last 24h,Transactions avg. per hour,Bitcoins sent last 24h,Bitcoins sent avg. per hour,Count,Blocks last 24h,Blocks avg. per hour,Difficulty,Next Difficulty,Network Hashrate Terahashs,Network Hashrate PetaFLOPS,Price,Open,High,Low,Vol.,Change %
2013-08-26,11608775,1406983298,53292,2220.5,641072.88,26711.37,254350,165,6.88,65750060,68498336,490.33,6227.19,120.10,122.10,123.00,119.90,11.44K,-1.67%
2013-08-27,11612775,1504095211,57316,2388.17,882731.69,36780.49,254510,171,7.13,65750060,70053502,501.46,6368.57,131.30,120.10,133.00,120.00,53.85K,9.34%
2013-08-28,11617025,1342254303,66380,2765.83,831597.17,34649.88,254680,170,7.08,65750060,70879556,507.38,6443.67,128.80,131.30,131.70,128.00,12.56K,-1.93%
2013-08-29,11621875,1381724719,61617,2567.38,2694076.29,112253.18,254874,194,8.08,65750060,72700400,520.41,6609.2,129.30,128.80,131.20,128.20,8.22K,0.42%
2013-08-30,11626775,1391724968,60440,2518.33,684111.74,28504.66,255070,196,8.17,65750060,75286537,538.92,6844.31,138.00,129.30,142.80,128.60,46.07K,6.75%
2013-08-31,11632150,1508573534,53883,2245.13,789921.89,32913.41,255285,215,8.96,65750060,78431661,561.44,7130.23,141.00,138.00,148.70,135.90,31.15K,2.15%
2013-09-01,11637700,1687466500,46290,1928.75,1092653.67,45527.24,255507,222,9.25,65750060,81658228,584.53,7423.56,146.00,141.00,147.30,141.00,14.10K,3.55%
2013-09-02,11643525,1526116822,49069,2044.54,624929.97,26038.75,255740,233,9.71,65750060,84363145,603.89,7669.47,144.00,146.00,148.50,142.10,10.65K,-1.38%
2013-09-03,11647975,1696088547,50796,2116.5,983730.92,40988.79,255918,178,7.42,65750060,85473739,611.84,7770.43,144.00,144.00,148.90,142.20,17.00K,0.00%
2013-09-04,11652675,1414634745,52281,2178.38,868735.93,36197.33,256106,188,7.83,86933018,88094346,630.6,8008.67,132.50,144.00,145.80,130.10,28.75K,-7.98%
2013-09-05,11656725,1454759280,58379,2432.46,879737.57,36655.73,256268,162,6.75,86933018,90544632,648.14,8231.43,130.20,132.50,138.00,127.20,27.03K,-1.74%
2013-09-06,11661550,1534426749,64116,2671.5,845941.17,35247.55,256461,193,8.04,86933018,94587587,677.08,8598.97,121.90,130.20,134.00,121.90,19.17K,-6.37%
2013-09-07,11665450,1374073356,53405,2225.21,692350.04,28847.92,256617,156,6.5,86933018,96160124,688.34,8741.93,129.00,121.90,131.00,121.30,14.19K,5.82%
2013-09-08,11669225,1475682959,47549,1981.21,436833.11,18201.38,256768,151,6.29,86933018,96990613,694.29,8817.43,126.30,129.00,129.90,124.10,7.35K,-2.07%
2013-09-09,11674025,1568405375,50778,2115.75,486337.05,20264.04,256960,192,8,86933018,99804941,714.43,9073.28,133.10,126.30,137.50,124.00,29.69K,5.37%
2013-09-10,11678725,1412985580,56997,2374.88,1075269.17,44802.88,257148,188,7.83,86933018,101458738,726.27,9223.63,132.60,133.10,136.00,131.40,8.88K,-0.36%
2013-09-11,11683600,1602990154,49939,2080.79,821621.96,34234.25,257343,195,8.13,86933018,103077235,737.86,9370.77,142.10,132.60,145.90,127.50,41.56K,7.15%
2013-09-12,11688900,1637965557,51876,2161.5,670617.79,27942.41,257555,212,8.83,86933018,105522280,755.36,9593.05,139.40,142.10,145.50,137.50,20.53K,-1.94%
2013-09-13,11694075,1453058983,47828,1992.83,716968.17,29873.67,257762,207,8.63,86933018,107221491,767.52,9747.52,140.70,139.40,145.60,137.80,20.12K,0.94%
2013-09-14,11699450,1453071690,46791,1949.63,637098.93,26545.79,257977,215,8.96,86933018,111728444,799.78,10157.25,136.70,140.70,142.00,136.50,8.90K,-2.81%
2013-09-15,11704250,1474735500,46647,1943.63,415623.73,17317.66,258169,192,8,112628549,116116704,831.2,10556.19,138.30,136.70,141.00,135.00,6.44K,1.16%
2013-09-16,11708625,1622112908,51832,2159.67,566765.73,23615.24,258344,175,7.29,112628549,118865893,850.88,10806.12,139.40,138.30,142.20,137.90,10.61K,0.81%
