"Date","Price","Open","High","Low","Vol.","Change_Percent"
2020-02-07,2438,2433,2437,2432,608960,"0.48%"
2020-02-06,2436,2421,2434,2416,778670,"1.67%"
2020-02-05,2424,2377,2422,2382,771460,"4.54%"
2020-02-04,2381,2390,2384,2386,651680,"-1.10%"
2020-02-03,2394,2398,2415,2392,701390,"-0.41%"
2020-02-02,2402,2404,2405,2384,683370,"-0.50%"
2020-02-01,2407,2400,2404,2396,458420,"0.35%"
2020-01-31,2404,2412,2411,2391,633370,"-1.66%"
2020-01-30,2416,2391,2414,2390,765210,"2.24%"
2020-01-29,2395,2403,2399,2393,749880,"-0.84%"
2020-01-28,2406,2305,2393,2287,954200,"5.76%"
2020-01-27,2309,2275,2322,2261,706450,"3.01%"
2020-01-26,2279,2250,2282,2233,468340,"3.19%"
2020-01-25,2253,2259,2263,2232,444000,"-1.17%"
2020-01-24,2263,2256,2274,2227,617020,"0.41%"
2020-01-23,2259,2284,2290,2236,722670,"-3.15%"
2020-01-22,2288,2293,2306,2264,509060,"-0.62%"
2020-01-21,2296,2278,2303,2254,540200,"1.05%"
2020-01-20,2282,2287,2297,2256,599060,"-0.74%"
2020-01-19,2291,2313,2374,2258,975010,"-2.36%"
2020-01-18,2317,2312,2321,2285,627740,"0.04%"
2020-01-17,2316,2290,2362,2271,794110,"2.13%"
2020-01-16,2294,2303,2311,2262,748320,"-1.04%"
2020-01-15,2307,2304,2317,2266,1170000,"-0.12%"
2020-01-14,2308,2204,2315,2207,1480000,"8.85%"
2020-01-13,2207,2223,2214,2198,610660,"-0.93%"
2020-01-12,2226,2191,2213,2109,595220,"2.04%"
2020-01-11,2194,2222,2228,2186,776750,"-1.99%"
2020-01-10,2224,2085,2212,2061,1050000,"4.40%"
2020-01-09,2088,2196,2194,2075,786500,"-2.70%"
2020-01-08,2199,2211,2262,2097,1190000,"-1.18%"
2020-01-07,2214,2079,2209,2067,1010000,"5.11%"
2020-01-06,2082,2029,2078,2025,786750,"5.24%"
2020-01-05,2033,2030,2038,2021,628140,"-0.06%"
2020-01-04,2034,2023,2026,2009,523910,"0.46%"
2020-01-03,2027,1804,2018,1789,936290,"5.40%"
2020-01-02,1807,2001,1989,1793,632780,"-3.23%"
2020-01-01,2004,2000,1993,1989,420280,"0.05%"
2019-12-31,2003,2009,2005,1985,586600,"-0.90%"
2019-12-30,2012,2035,2023,2000,606110,"-1.84%"
2019-12-29,2039,2019,2042,2013,611690,"1.04%"
2019-12-28,2022,2010,2014,2004,610960,"0.82%"
2019-12-27,2011,2005,2000,1981,718070,"0.70%"
2019-12-26,2007,2006,2022,1988,795090,"-0.19%"
2019-12-25,2008,2012,2046,1984,625410,"-0.60%"
2019-12-24,2015,2020,2027,1992,785540,"-0.74%"
2019-12-23,2024,2049,2065,2006,952160,"-2.31%"
2019-12-22,2053,1995,2039,1983,677940,"4.74%"
2019-12-21,1998,2000,1988,1982,468740,"-0.56%"
2019-12-20,2003,1997,1990,1976,627040,"0.43%"
2019-12-19,2000,2014,2011,1969,778720,"-1.52%"
2019-12-18,2017,1755,2015,1717,1140000,"10.02%"
2019-12-17,1758,1796,1806,1749,894550,"-4.20%"
2019-12-16,1799,1991,1985,1787,689560,"-3.16%"
2019-12-15,1994,1987,1986,1968,492580,"0.67%"
2019-12-14,1990,2008,1995,1971,524560,"-2.40%"
2019-12-13,2010,2004,1998,1996,503490,"0.65%"
2019-12-12,2006,2003,1996,1980,611800,"0.00%"
2019-12-11,2006,2007,1997,1986,518400,"-0.38%"
2019-12-10,2009,2024,2017,1994,609500,"-1.63%"
2019-12-09,2028,2056,2059,2015,648660,"-2.24%"
2019-12-08,2060,2053,2052,2032,499040,"0.18%"
2019-12-07,2057,2057,2054,2042,557140,"-0.26%"
2019-12-06,2061,2036,2048,2018,706100,"1.78%"
2019-12-05,2040,2002,2035,1991,780780,"2.70%"
2019-12-04,2005,2017,2071,1977,971750,"-1.20%"
2019-12-03,2019,2018,2016,1998,548770,"-0.09%"
2019-12-02,2021,2034,2028,1987,687780,"-1.33%"
2019-12-01,2038,2060,2047,2001,777000,"-1.99%"
2019-11-30,2063,2078,2079,2039,650600,"-2.53%"
2019-11-29,2081,2043,2081,2031,766710,"4.26%"
2019-11-28,2047,2052,2061,2028,737580,"-1.12%"
2019-11-27,2056,1996,2060,1788,996490,"4.86%"
2019-11-26,1999,1989,2002,1972,844270,"0.66%"
2019-11-25,1992,1798,2010,1742,1290000,"2.76%"
2019-11-24,1801,2021,2009,1792,904500,"-5.45%"
2019-11-23,2025,2013,2008,1975,783180,"0.71%"
2019-11-22,2016,2065,2069,1784,1410000,"-4.66%"
2019-11-21,2068,2202,2203,2047,891500,"-5.82%"
2019-11-20,2205,2208,2217,2200,607270,"-0.57%"
2019-11-19,2212,2229,2224,2193,654270,"-0.76%"
2019-11-18,2231,2265,2273,2206,692600,"-3.54%"
2019-11-17,2269,2264,2284,2244,531220,"0.15%"
2019-11-16,2268,2261,2275,2249,471160,"0.25%"
2019-11-15,2266,2282,2301,2247,653710,"-2.13%"
2019-11-14,2286,2298,2305,2268,515430,"-1.39%"
2019-11-13,2302,2302,2308,2273,454330,"-0.33%"
2019-11-12,2306,2294,2309,2267,575160,"0.87%"
2019-11-11,2297,2369,2369,2269,601160,"-3.32%"
2019-11-10,2373,2299,2371,2277,581570,"2.64%"
2019-11-09,2303,2297,2313,2276,512020,"0.30%"
2019-11-08,2301,2382,2377,2274,791790,"-4.83%"
2019-11-07,2386,2399,2388,2378,603540,"-1.24%"
2019-11-06,2403,2394,2398,2394,578030,"0.30%"
2019-11-05,2398,2405,2402,2386,653420,"-0.91%"
2019-11-04,2408,2379,2409,2379,681010,"2.15%"
2019-11-03,2383,2392,2387,2376,536560,"-1.10%"
2019-11-02,2397,2383,2386,2387,570740,"0.76%"
2019-11-01,2387,2373,2379,2372,689650,"0.85%"
2019-10-31,2377,2375,2390,2293,798930,"-0.06%"
2019-10-30,2379,2406,2396,2368,789730,"-2.69%"
2019-10-29,2409,2380,2412,2377,918480,"2.22%"
2019-10-28,2384,2414,2436,2388,1040000,"-3.38%"
2019-10-27,2418,2384,2427,2374,1160000,"3.24%"
2019-10-26,2388,2281,184,2196,1780000,"6.61%"
2019-10-25,2285,2041,2291,2030,1180000,"16.65%"
2019-10-24,2045,2046,2040,2024,586490,"-0.73%"
2019-10-23,2050,2193,2190,2017,892080,"-6.90%"
2019-10-22,2196,2228,2235,2188,570390,"-2.15%"
2019-10-21,2230,2235,2244,2218,489400,"-0.18%"
2019-10-20,2237,2100,2234,2093,513910,"3.34%"
2019-10-19,2103,2098,2193,2094,428830,"0.11%"
2019-10-18,2101,2200,2199,2084,505790,"-1.55%"
2019-10-17,2203,2187,2201,2106,444950,"0.91%"
2019-10-16,2190,2215,2211,2103,538920,"-2.04%"
2019-10-15,2218,2252,2257,2215,469730,"-2.23%"
2019-10-14,2255,2245,2252,2225,505020,"0.87%"
2019-10-13,2247,2249,2264,2224,419870,"-0.28%"
2019-10-12,2252,2243,2256,2231,424020,"0.44%"
2019-10-11,2245,2273,2299,2230,667860,"-3.44%"
2019-10-10,2277,2274,2285,2248,511460,"-0.05%"
2019-10-09,2278,2219,2287,2211,636430,"4.69%"
2019-10-08,2222,2225,2246,2209,469040,"-0.19%"
2019-10-07,2227,2090,2237,2077,604740,"4.02%"
2019-10-06,2093,2206,2204,2082,448800,"-3.02%"
2019-10-05,2209,2210,2210,2191,360920,"-0.25%"
2019-10-04,2213,2236,2222,2194,416920,"-0.96%"
2019-10-03,2238,2254,2255,2203,460970,"-1.64%"
2019-10-02,2257,2248,2251,2219,405860,"0.74%"
2019-10-01,2251,2246,2269,2223,533950,"0.22%"
2019-09-30,2248,2195,2245,2065,600260,"2.92%"
2019-09-29,2198,2230,2219,2101,418480,"-1.94%"
2019-09-28,2232,2220,2239,2192,457790,"0.29%"
2019-09-27,2223,2197,2226,2092,561400,"1.50%"
2019-09-26,2201,2258,2266,2073,731030,"-4.37%"
2019-09-25,2262,2266,2294,2228,696110,"-0.96%"
2019-09-24,2270,2424,2428,2199,933160,"-12.25%"
2019-09-23,2427,134,145,2425,431100,"-3.28%"
2019-09-22,133,2444,146,2439,337060,"0.39%"
2019-09-21,2448,145,149,2448,326170,"-1.77%"
2019-09-20,146,152,158,129,362070,"-0.76%"
2019-09-19,153,143,160,2427,542250,"0.84%"
2019-09-18,143,149,155,132,318820,"-0.30%"
2019-09-17,150,153,157,138,321640,"-0.58%"
2019-09-16,154,159,164,131,372530,"-0.54%"
2019-09-15,160,163,163,148,255790,"-0.25%"
2019-09-14,164,164,172,145,326440,"-0.05%"
2019-09-13,165,172,176,140,365520,"-0.70%"
2019-09-12,173,141,177,124,413220,"2.49%"
2019-09-11,142,137,155,2443,413060,"0.57%"
2019-09-10,138,158,166,2450,383220,"-1.98%"
2019-09-09,158,170,181,130,473760,"-0.90%"
2019-09-08,171,173,187,146,339730,"-0.56%"
2019-09-07,174,157,185,150,393570,"1.47%"
2019-09-06,159,176,202,142,643020,"-2.44%"
2019-09-05,177,177,188,159,402090,"-0.01%"
2019-09-04,178,180,194,154,504450,"-0.42%"
2019-09-03,181,165,192,149,578790,"2.55%"
2019-09-02,166,2429,173,2429,542790,"6.37%"
2019-09-01,2432,2420,2430,2415,322660,"1.41%"
2019-08-31,2423,2418,2419,2411,311490,"0.09%"
2019-08-30,2422,2411,2418,2401,413920,"0.99%"
2019-08-29,2414,2430,2423,2399,509130,"-2.45%"
2019-08-28,2433,148,156,2423,580290,"-4.47%"
2019-08-27,149,166,167,126,419810,"-1.80%"
2019-08-26,167,139,186,135,568770,"2.32%"
2019-08-25,140,138,162,2447,422530,"0.05%"
2019-08-24,139,168,170,2444,463850,"-2.48%"
2019-08-23,169,137,174,2446,436260,"2.81%"
